client_hash_id,content_hash_id,imp_last30,imp_prev30,clk_last30,pos_last30,visible_queries,rare_share,anon_share,top_query_impressions,kept_impressions,top_query_share,is_declining,pos_volatility_60d
client_fef1a8f436438636,content_158a12d18f5db925,26.0,112.0,0.0,43.01041666666667,2.0,0.1568627450980392,0.6941176470588235,40.0,76.0,0.5263157894736842,1,29.08052855280356
client_fef1a8f436438636,content_f89ef86600c2197c,1205.0,2549.0,4.0,46.628565416773384,56.0,0.07138971988033724,0.5678542289910253,513.0,2653.0,0.19336600075386354,1,18.019379849626986
client_fef1a8f436438636,content_26297fe1cca492ce,167.0,330.0,1.0,16.475600835945663,1.0,0.07485281749369217,0.8898233809924306,42.0,42.0,1.0,1,9.909286139820036
client_fef1a8f436438636,content_06b4139ee286d7a2,47.0,161.0,0.0,54.75175438596491,7.0,0.06405693950177936,0.7740213523131673,59.0,182.0,0.3241758241758242,1,22.794169837342963
client_fef1a8f436438636,content_bd26ad4844cf3bad,94.0,299.0,0.0,13.615964590964591,6.0,0.06736068585425597,0.8579301898346602,44.0,122.0,0.36065573770491804,1,15.148467049425143
client_fef1a8f436438636,content_500c6eca29876dde,3208.0,3377.0,5.0,8.588930749388664,22.0,0.013716459751702043,0.9148978774529435,228.0,713.0,0.31977559607293127,0,2.7984774876895835
client_fef1a8f436438636,content_48361ca1d02c0d43,477.0,1404.0,4.0,16.74334148065077,4.0,0.03386581469648562,0.9437699680511182,55.0,105.0,0.5238095238095238,1,7.691556270196256
client_fef1a8f436438636,content_029cb9200431f3e5,123.0,330.0,2.0,32.92987443590892,4.0,0.10415248468345814,0.8148400272294077,68.0,119.0,0.5714285714285714,1,21.809798145252042
client_fef1a8f436438636,content_9c37b1ce04093c23,539.0,750.0,2.0,10.198521703068804,15.0,0.05647263249348393,0.7767158992180713,99.0,576.0,0.171875,1,3.7656744380856693
client_fef1a8f436438636,content_9375c907ebb1b1d9,413.0,694.0,0.0,24.283390407213936,11.0,0.05762018411183089,0.760654619843164,153.0,533.0,0.2870544090056285,1,13.58759526304958
client_fef1a8f436438636,content_6e6ce5409f7cc3e9,84.0,292.0,0.0,38.80396825396825,12.0,0.09689213893967093,0.6703229737964655,95.0,382.0,0.2486910994764398,1,22.385360895480265
client_fef1a8f436438636,content_cc86c968058fb248,45.0,114.0,0.0,29.648550724637683,1.0,0.08863636363636364,0.865909090909091,20.0,20.0,1.0,1,25.878149686911886
client_fef1a8f436438636,content_e94b715253b036e8,96.0,280.0,0.0,22.201465201465204,9.0,0.04582763337893297,0.6812585499316005,123.0,399.0,0.3082706766917293,1,14.506103476683693
client_fef1a8f436438636,content_66c61831eb1038b4,724.0,1133.0,3.0,16.796483346600045,12.0,0.02345094664371773,0.882960413080895,239.0,435.0,0.5494252873563218,1,8.431129292282144
